txn_id,account_id,timestamp,amount,txn_type,merchant,channel,country,hour,account_age_days,txn_count_24h,prev_txn_minutes,label
TXN10000087,ACC198071,2026-04-08 19:58:00,3304.35,transfer_out,-,web,TH,19,347,8,800,NORMAL
TXN10000088,ACC286379,2026-04-24 12:13:00,823.84,purchase,Shopee,mobile,TH,12,3272,3,116,NORMAL
TXN10000089,ACC489851,2026-04-27 11:40:00,1780.52,purchase,Shopee,mobile,TH,11,1148,3,154,NORMAL
TXN10000090,ACC544360,2026-04-17 19:17:00,2679.35,transfer_in,-,mobile,SG,19,3253,7,1856,NORMAL
TXN10000091,ACC377025,2026-04-25 12:23:00,393.02,purchase,Makro,mobile,MY,12,1969,6,352,NORMAL
TXN10000092,ACC855944,2026-04-03 23:48:00,93112.31,transfer_in,-,mobile,TH,23,79,20,3,MULE
TXN10000093,ACC951991,2026-04-11 12:50:00,267.17,purchase,PTT Station,branch,TH,12,79,8,494,NORMAL
TXN10000094,ACC327066,2026-04-03 07:04:00,735.11,purchase,Makro,web,TH,7,3068,7,1017,NORMAL
TXN10000095,ACC513555,2026-04-26 20:42:00,145.12,purchase,Grab,branch,MY,20,2330,6,485,NORMAL
TXN10000096,ACC234942,2026-04-10 19:52:00,23977.88,transfer_in,-,web,TH,19,31,20,10,MULE
TXN10000097,ACC897040,2026-04-07 17:22:00,296.85,purchase,Tops Market,mobile,TH,17,1502,7,287,NORMAL
TXN10000098,ACC556376,2026-04-03 13:57:00,707.0,purchase,Shopee,mobile,TH,13,2097,3,74,NORMAL
TXN10000099,ACC460072,2026-04-20 21:46:00,123492.99,transfer_in,-,mobile,TH,21,55,13,8,MULE
TXN10000100,ACC522973,2026-04-22 05:00:00,981.41,purchase,PTT Station,mobile,TH,5,106,2,188,NORMAL
TXN10000101,ACC676829,2026-04-30 03:34:00,88596.9,purchase,Foreign Online Shop,web,US,3,2835,9,14,FRAUD
TXN10000102,ACC361547,2026-04-30 15:28:00,736.05,purchase,Tops Market,atm,TH,15,1513,8,192,NORMAL
TXN10000103,ACC802054,2026-04-23 19:03:00,281.95,purchase,Lazada,mobile,TH,19,208,7,317,NORMAL
TXN10000104,ACC200230,2026-04-12 11:52:00,1484.68,purchase,7-Eleven,mobile,MY,11,2961,2,300,NORMAL
TXN10000105,ACC741194,2026-04-11 12:24:00,28659.49,transfer_in,-,web,TH,12,18,8,2,MULE
TXN10000106,ACC255194,2026-04-21 12:32:00,314.62,purchase,7-Eleven,mobile,TH,12,2944,5,96,NORMAL
TXN10000107,ACC622823,2026-04-15 08:14:00,1146.58,transfer_in,-,mobile,TH,8,598,4,48,NORMAL
TXN10000108,ACC681764,2026-04-15 10:46:00,1620.06,transfer_in,-,mobile,TH,10,2727,2,243,NORMAL
TXN10000109,ACC397809,2026-04-17 18:37:00,6450.7,transfer_in,-,web,MY,18,1280,7,209,NORMAL
TXN10000110,ACC506397,2026-04-18 10:35:00,895.34,transfer_in,-,web,TH,10,573,1,408,NORMAL
TXN10000111,ACC442625,2026-04-18 17:09:00,791.4,transfer_in,-,mobile,TH,17,571,8,744,NORMAL
TXN10000112,ACC358625,2026-04-01 10:12:00,717.04,purchase,7-Eleven,mobile,TH,10,2358,2,68,NORMAL
TXN10000113,ACC450402,2026-04-30 14:44:00,1640.94,purchase,Makro,atm,TH,14,1869,8,120,NORMAL
TXN10000114,ACC968573,2026-04-05 14:16:00,968.6,purchase,Grab,branch,TH,14,3369,4,1359,NORMAL
TXN10000115,ACC288474,2026-04-14 07:53:00,1607.76,purchase,Central,mobile,MY,7,2761,5,469,NORMAL
TXN10000116,ACC480166,2026-04-24 06:34:00,129004.24,transfer_out,-,web,TH,6,35,30,22,MULE
TXN10000117,ACC538345,2026-04-25 14:46:00,211.51,purchase,Shopee,web,TH,14,2563,2,435,NORMAL
TXN10000118,ACC113373,2026-04-09 16:36:00,243.23,purchase,Big C,web,TH,16,3434,5,3619,NORMAL
TXN10000119,ACC548978,2026-04-29 05:46:00,681.95,transfer_out,-,mobile,TH,5,1043,5,915,NORMAL
TXN10000120,ACC726394,2026-04-01 15:39:00,1928.91,transfer_in,-,mobile,MY,15,3258,5,65,NORMAL
TXN10000121,ACC415273,2026-04-05 09:46:00,345329.66,purchase,Gift Card Reseller,web,NG,9,130,14,79,FRAUD
TXN10000122,ACC952608,2026-04-17 20:56:00,719.98,purchase,Makro,mobile,TH,20,2724,5,203,NORMAL
TXN10000123,ACC782423,2026-04-11 16:41:00,326.22,purchase,Makro,mobile,TH,16,1018,8,430,NORMAL
TXN10000124,ACC179728,2026-04-12 19:16:00,5465.62,transfer_out,-,branch,MY,19,1004,7,554,NORMAL
TXN10000125,ACC861357,2026-04-10 14:41:00,1211.76,purchase,7-Eleven,mobile,TH,14,3023,2,105,NORMAL
TXN10000126,ACC896605,2026-04-16 13:58:00,329.97,purchase,Tops Market,mobile,MY,13,3316,6,161,NORMAL
TXN10000127,ACC206214,2026-04-05 17:19:00,530.32,purchase,Central,branch,TH,17,1771,1,204,NORMAL
TXN10000128,ACC632053,2026-04-20 14:57:00,3514.76,purchase,Grab,web,TH,14,1207,5,133,NORMAL
TXN10000129,ACC562877,2026-04-14 11:41:00,772.05,purchase,Big C,web,TH,11,1346,5,103,NORMAL
TXN10000130,ACC375229,2026-04-10 17:03:00,283.23,purchase,Lotus's,web,TH,17,1423,1,383,NORMAL
TXN10000131,ACC223877,2026-04-29 15:19:00,442.41,purchase,Shopee,mobile,JP,15,740,3,264,NORMAL
TXN10000132,ACC627975,2026-04-15 04:06:00,119258.16,transfer_out,-,mobile,JP,4,854,3,43,FRAUD
TXN10000133,ACC424192,2026-04-09 16:42:00,479.65,purchase,Tops Market,mobile,JP,16,2534,1,237,NORMAL
TXN10000134,ACC772847,2026-04-17 13:15:00,743.33,purchase,Shopee,web,TH,13,782,8,74,NORMAL
TXN10000135,ACC215558,2026-04-12 08:23:00,538.7,purchase,Lazada,mobile,SG,8,390,7,1410,NORMAL
TXN10000136,ACC807722,2026-04-23 22:07:00,117162.1,transfer_out,-,mobile,TH,22,72,28,15,MULE
TXN10000137,ACC794382,2026-04-03 15:02:00,214.2,purchase,Big C,mobile,SG,15,3163,7,218,NORMAL
TXN10000138,ACC282787,2026-04-29 18:39:00,1210.41,transfer_in,-,mobile,TH,18,1105,4,94,NORMAL
TXN10000139,ACC441792,2026-04-22 14:28:00,2937.3,transfer_in,-,mobile,JP,14,1051,6,52,NORMAL
TXN10000140,ACC649766,2026-04-07 12:28:00,559.03,transfer_out,-,mobile,TH,12,2004,5,153,NORMAL
TXN10000141,ACC500686,2026-04-27 14:32:00,1274.0,transfer_in,-,mobile,JP,14,2137,6,506,NORMAL
TXN10000142,ACC773042,2026-04-13 06:46:00,458912.32,purchase,Unverified Merchant,web,RU,6,1526,5,216,FRAUD
TXN10000143,ACC758115,2026-04-09 10:58:00,98.44,purchase,Big C,atm,MY,10,3480,4,222,NORMAL
TXN10000144,ACC656513,2026-04-04 18:43:00,338.88,purchase,Shopee,web,TH,18,823,4,1434,NORMAL
TXN10000145,ACC929787,2026-04-11 08:53:00,4260.33,transfer_out,-,web,TH,8,247,7,103,NORMAL
TXN10000146,ACC145540,2026-04-11 18:19:00,8035.02,transfer_in,-,atm,TH,18,2733,5,316,NORMAL
TXN10000147,ACC499435,2026-04-05 08:17:00,5897.75,transfer_in,-,mobile,TH,8,340,5,132,NORMAL
TXN10000148,ACC744305,2026-04-27 10:05:00,216.23,purchase,Big C,mobile,JP,10,393,3,207,NORMAL
TXN10000149,ACC627299,2026-04-04 12:01:00,3273.19,transfer_in,-,mobile,TH,12,958,7,1032,NORMAL
TXN10000150,ACC725663,2026-04-01 07:37:00,5557.64,transfer_out,-,mobile,SG,7,911,8,499,NORMAL
TXN10000151,ACC564196,2026-04-01 16:17:00,617.17,purchase,Lotus's,mobile,TH,16,1500,4,87,NORMAL
TXN10000152,ACC470141,2026-04-26 23:05:00,627.55,purchase,Lotus's,atm,TH,23,2746,3,352,NORMAL
TXN10000153,ACC553687,2026-04-16 13:18:00,354.19,purchase,PTT Station,mobile,SG,13,2748,8,50,NORMAL
TXN10000154,ACC853943,2026-04-16 15:08:00,75512.55,transfer_out,-,mobile,RU,15,42,16,24,MULE
TXN10000155,ACC478893,2026-04-27 10:26:00,1126.25,purchase,Lotus's,mobile,TH,10,1105,4,83,NORMAL
TXN10000156,ACC978093,2026-04-11 14:07:00,295.44,purchase,Tops Market,web,TH,14,635,8,162,NORMAL
TXN10000157,ACC742277,2026-04-30 05:17:00,11484.69,transfer_in,-,atm,SG,5,847,8,409,NORMAL
TXN10000158,ACC161682,2026-04-22 14:29:00,133762.04,transfer_out,-,mobile,UA,14,16,23,23,MULE
TXN10000159,ACC169526,2026-04-30 11:57:00,518.39,purchase,Grab,atm,TH,11,1809,2,374,NORMAL
TXN10000160,ACC368224,2026-04-10 11:05:00,115.59,purchase,Makro,mobile,TH,11,621,6,281,NORMAL
TXN10000161,ACC312661,2026-04-28 12:54:00,569.65,purchase,PTT Station,mobile,TH,12,1978,2,280,NORMAL
TXN10000162,ACC828752,2026-04-03 13:54:00,416.5,purchase,PTT Station,branch,TH,13,418,1,32,NORMAL
TXN10000163,ACC683500,2026-04-03 13:30:00,535.93,purchase,Central,atm,TH,13,2915,3,190,NORMAL
TXN10000164,ACC191891,2026-04-07 09:44:00,8250.05,transfer_in,-,mobile,TH,9,1505,8,148,NORMAL
TXN10000165,ACC666691,2026-04-07 03:42:00,27260.83,transfer_out,-,mobile,MY,3,30,12,7,MULE
TXN10000166,ACC564473,2026-04-09 06:47:00,839.45,purchase,Central,mobile,TH,6,3284,5,702,NORMAL
TXN10000167,ACC195939,2026-04-04 18:35:00,328.87,purchase,Tops Market,mobile,TH,18,706,3,88,NORMAL
TXN10000168,ACC404337,2026-04-25 17:13:00,234.82,purchase,Grab,mobile,TH,17,70,3,420,NORMAL
TXN10000169,ACC169526,2026-04-15 13:38:00,444.87,purchase,7-Eleven,web,JP,13,3347,8,221,NORMAL
TXN10000170,ACC312439,2026-04-29 19:25:00,608.89,purchase,PTT Station,web,TH,19,548,2,39,NORMAL
TXN10000171,ACC744664,2026-04-15 15:43:00,21016.08,transfer_in,-,branch,TH,15,553,5,471,NORMAL
TXN10000172,ACC651930,2026-04-20 14:29:00,239.23,purchase,Central,mobile,MY,14,2617,6,79,NORMAL
TXN10000173,ACC436269,2026-04-15 21:55:00,4787.0,transfer_out,-,mobile,TH,21,2550,6,64,NORMAL
TXN10000174,ACC397983,2026-04-23 15:02:00,247723.83,transfer_out,-,web,VN,15,546,13,24,FRAUD
TXN10000175,ACC972632,2026-04-14 15:35:00,786.4,purchase,Shopee,mobile,TH,15,3164,1,909,NORMAL
TXN10000176,ACC353583,2026-04-04 14:26:00,84.85,purchase,Shopee,web,TH,14,1723,5,175,NORMAL
TXN10000177,ACC315555,2026-04-28 07:05:00,4891.07,transfer_in,-,mobile,TH,7,2069,2,121,NORMAL
TXN10000178,ACC968260,2026-04-06 05:43:00,4691.26,purchase,Central,mobile,SG,5,1281,2,293,NORMAL
TXN10000179,ACC944755,2026-04-21 21:32:00,443.19,purchase,Makro,branch,SG,21,1841,6,175,NORMAL
TXN10000180,ACC834978,2026-04-23 18:35:00,513.79,purchase,Grab,mobile,JP,18,1904,4,374,NORMAL
TXN10000181,ACC376693,2026-04-23 05:33:00,855.76,transfer_out,-,atm,SG,5,3416,8,72,NORMAL
TXN10000182,ACC594363,2026-04-29 18:48:00,2096.98,transfer_in,-,mobile,TH,18,2635,2,89,NORMAL
TXN10000183,ACC215509,2026-04-16 12:32:00,87.37,purchase,Lotus's,atm,MY,12,1661,4,349,NORMAL
TXN10000184,ACC691419,2026-04-19 21:27:00,367.77,purchase,PTT Station,mobile,TH,21,334,1,578,NORMAL
TXN10000185,ACC665254,2026-04-10 14:01:00,625.1,transfer_out,-,mobile,TH,14,1721,3,193,NORMAL
TXN10000186,ACC940448,2026-04-12 02:27:00,164.81,purchase,Unverified Merchant,mobile,US,2,2622,12,8,FRAUD
TXN10000187,ACC890672,2026-04-13 08:00:00,369.62,purchase,Shopee,mobile,TH,8,756,5,259,NORMAL
TXN10000188,ACC375477,2026-04-15 15:02:00,983.11,transfer_in,-,web,TH,15,2469,8,80,NORMAL
TXN10000189,ACC428195,2026-04-03 15:20:00,11155.17,transfer_in,-,mobile,TH,15,2304,1,159,NORMAL
TXN10000190,ACC382437,2026-04-23 04:10:00,272.5,transfer_out,-,mobile,JP,4,3310,14,8,FRAUD
TXN10000191,ACC685144,2026-04-18 09:57:00,727.07,purchase,Makro,web,MY,9,2273,3,1429,NORMAL
TXN10000192,ACC531340,2026-04-18 09:34:00,1681.46,purchase,PTT Station,web,TH,9,1613,3,34,NORMAL
TXN10000193,ACC580020,2026-04-20 16:08:00,767.11,purchase,Grab,mobile,TH,16,1267,3,438,NORMAL
TXN10000194,ACC513793,2026-04-18 13:48:00,1137.1,purchase,Lazada,mobile,TH,13,1543,2,1117,NORMAL
TXN10000195,ACC191406,2026-04-22 15:48:00,399.11,purchase,Grab,mobile,TH,15,2872,1,61,NORMAL
TXN10000196,ACC910403,2026-04-29 12:37:00,52.18,purchase,Makro,mobile,JP,12,2162,5,308,NORMAL
TXN10000197,ACC597242,2026-04-20 23:26:00,147185.39,transfer_out,-,web,US,23,2343,6,27,FRAUD
TXN10000198,ACC934778,2026-04-18 16:44:00,406.71,purchase,Central,mobile,TH,16,1837,6,1394,NORMAL
TXN10000199,ACC497653,2026-04-29 13:08:00,130.94,purchase,7-Eleven,web,TH,13,406,1,458,NORMAL
TXN10000200,ACC346100,2026-04-15 08:16:00,138.49,purchase,Grab,mobile,TH,8,3491,8,685,NORMAL
TXN10000201,ACC673714,2026-04-16 09:31:00,796.45,transfer_out,-,web,TH,9,1420,8,90,NORMAL
TXN10000202,ACC391561,2026-04-14 02:03:00,3374.83,transfer_out,-,web,TH,2,749,5,160,NORMAL
TXN10000203,ACC487035,2026-04-05 09:24:00,1301.09,purchase,Tops Market,mobile,TH,9,1745,7,167,NORMAL
TXN10000204,ACC254814,2026-04-30 16:18:00,1458.79,purchase,Shopee,mobile,TH,16,1552,3,114,NORMAL
TXN10000205,ACC381464,2026-04-25 02:56:00,67336.47,purchase,Online Gambling,web,TH,2,3304,10,35,FRAUD
TXN10000206,ACC541663,2026-04-24 12:43:00,444.66,purchase,Shopee,branch,TH,12,77,5,174,NORMAL
TXN10000207,ACC129619,2026-04-04 20:39:00,2606.93,transfer_out,-,mobile,TH,20,983,7,112,NORMAL
TXN10000208,ACC762986,2026-04-15 06:29:00,35300.44,transfer_in,-,mobile,TH,6,83,8,19,MULE
TXN10000209,ACC332273,2026-04-17 10:23:00,2318.41,transfer_in,-,atm,TH,10,1469,8,1113,NORMAL
TXN10000210,ACC625011,2026-04-25 09:17:00,2417.8,transfer_out,-,mobile,TH,9,3188,8,1134,NORMAL
TXN10000211,ACC423666,2026-04-29 10:31:00,1050.26,purchase,Big C,mobile,TH,10,1453,3,290,NORMAL
TXN10000212,ACC432609,2026-04-08 20:21:00,968.65,purchase,Big C,web,MY,20,2849,3,585,NORMAL
TXN10000213,ACC718396,2026-04-11 10:39:00,115.65,purchase,7-Eleven,web,TH,10,3417,6,1517,NORMAL
TXN10000214,ACC643756,2026-04-15 18:36:00,838.56,purchase,Lotus's,mobile,TH,18,1809,1,302,NORMAL
TXN10000215,ACC370652,2026-04-27 17:19:00,438.45,purchase,Shopee,mobile,TH,17,492,6,103,NORMAL
TXN10000216,ACC195041,2026-04-02 16:36:00,31417.08,transfer_out,-,mobile,PH,16,69,12,13,MULE
TXN10000217,ACC876525,2026-04-30 12:58:00,558.98,purchase,Makro,web,SG,12,714,3,215,NORMAL
TXN10000218,ACC312705,2026-04-15 13:47:00,1374.52,purchase,Lotus's,atm,TH,13,103,3,979,NORMAL
TXN10000219,ACC926742,2026-04-20 12:46:00,291.22,purchase,Big C,mobile,TH,12,145,2,205,NORMAL
TXN10000220,ACC388107,2026-04-19 23:39:00,87392.04,purchase,Crypto Exchange,web,CN,23,529,8,19,FRAUD
TXN10000221,ACC309052,2026-04-01 13:29:00,181.5,purchase,Lazada,mobile,TH,13,2296,8,1122,NORMAL
TXN10000222,ACC272879,2026-04-11 13:13:00,2834.43,transfer_out,-,mobile,TH,13,1554,3,298,NORMAL
TXN10000223,ACC926496,2026-04-23 17:01:00,10045.17,transfer_out,-,web,TH,17,788,3,600,NORMAL
TXN10000224,ACC333776,2026-04-25 15:32:00,916.48,transfer_out,-,mobile,SG,15,3436,6,916,NORMAL
TXN10000225,ACC632315,2026-04-19 01:16:00,60092.06,transfer_out,-,mobile,TH,1,59,20,14,MULE
TXN10000226,ACC443974,2026-04-16 15:04:00,5854.67,transfer_out,-,mobile,TH,15,439,5,209,NORMAL
TXN10000227,ACC637391,2026-04-09 12:05:00,3315.34,transfer_out,-,mobile,TH,12,1417,7,228,NORMAL
TXN10000228,ACC600743,2026-04-17 12:47:00,1095.6,purchase,Central,mobile,MY,12,2338,6,169,NORMAL
TXN10000229,ACC899554,2026-04-14 16:16:00,212.92,purchase,Lazada,atm,TH,16,2058,8,1104,NORMAL
TXN10000230,ACC982465,2026-04-06 12:27:00,5622.76,purchase,Lotus's,mobile,TH,12,2265,7,156,NORMAL
