"TransactionID","isFraud","TransactionDT","TransactionAmt","ProductCD","card1","card2","card3","card4","card5","card6","addr1","addr2","P_emaildomain","R_emaildomain","C1","C2","C3","C4","C5","D1","D2","D3","D4","D15"
2987659,0,98724,100,"W",9400,111,150,"mastercard",224,"debit",315,87,"gmail.com",,2,2,0,0,1,60,60,32,60,60
2987718,0,100204,50,"H",15851,225,150,"mastercard",219,"credit",123,87,"aol.com",,1,1,0,0,0,0,,,0,0
2987753,0,101204,173,"W",2781,,150,"visa",166,"debit",264,87,"gmail.com",,1,1,0,0,0,3,3,0,1,3
2987755,0,101286,39,"W",12577,268,150,"visa",166,"debit",264,87,"hotmail.com",,1,2,0,0,0,64,64,14,0,63
2987793,0,102546,20,"W",14842,370,150,"visa",166,"debit",299,87,,,2,7,0,0,0,90,90,1,,2
2987805,0,103144,50,"W",12396,458,150,"visa",226,"debit",330,87,"yahoo.com",,13,13,0,0,14,484,484,53,484,179
2987812,0,103297,49.41,"W",1893,514,150,"mastercard",224,"credit",343,87,,,2,4,0,0,2,0,,,,0
2987823,0,103778,100,"W",4742,543,150,"mastercard",224,"debit",269,87,"gmail.com",,14,10,0,0,15,485,485,11,481,485
2987868,0,106499,12.024,"C",3154,408,185,"mastercard",224,"debit",,,"hotmail.com","hotmail.com",1,1,0,1,0,0,,,0,0
2987876,0,106758,57.95,"W",15651,417,150,"visa",226,"debit",330,87,"gmail.com",,1,1,0,0,2,62,62,14,61,61
2987906,0,108490,153,"W",7919,194,150,"mastercard",202,"debit",485,87,"hotmail.com",,2,2,0,0,1,122,30,30,183,183
2987915,0,108739,822.47,"W",8695,170,150,"visa",226,"credit",325,87,"aol.com",,1,1,0,0,1,0,,,0,0
2987936,0,109183,77,"W",7919,194,150,"mastercard",202,"debit",337,87,"yahoo.com",,4,2,0,0,0,28,28,25,435,27
2987971,0,110519,44.95,"W",14634,365,150,"visa",226,"debit",205,87,,,11,9,0,0,1,0,,0,,0
2987975,0,110697,67.95,"W",7919,194,150,"mastercard",202,"debit",325,87,"gmail.com",,171,172,0,0,170,427,427,29,214,0
2987980,0,110936,46.95,"W",7919,194,150,"mastercard",202,"debit",325,87,"gmail.com",,1,1,0,0,1,0,,,0,0
2988021,0,112841,50,"H",7664,490,150,"visa",226,"debit",387,87,"yahoo.com","gmail.com",1,2,0,1,0,0,,,,
2988090,0,118366,625,"W",11207,361,150,"visa",226,"debit",325,87,"yahoo.com",,2,3,0,0,0,220,139,0,319,477
2988113,0,120732,405,"W",7919,194,150,"mastercard",202,"debit",204,87,"gmail.com",,2,1,0,0,0,0,,,327,327
2988128,0,121551,124,"W",11371,543,150,"mastercard",224,"debit",325,87,"roadrunner.com",,4,5,0,0,0,451,451,0,451,451
2988147,0,123590,108.43,"W",7508,321,150,"visa",226,"debit",158,87,"hotmail.com",,3,4,0,0,1,27,27,13,483,483
2988149,0,123784,30,"W",9400,111,150,"mastercard",224,"debit",327,87,,,2,1,0,0,2,42,42,20,,218
2988154,0,123872,100,"W",14858,558,150,"visa",226,"debit",325,87,"yahoo.com",,2,2,0,0,0,1,1,1,303,455
2988174,0,125363,335,"W",1874,171,150,"mastercard",224,"debit",441,87,"gmail.com",,2,1,0,0,0,51,51,15,114,114
2988178,0,125749,50,"W",8436,215,150,"visa",226,"credit",204,87,,,1,1,0,0,1,453,453,30,,453
2988189,0,126400,107.95,"W",12291,555,150,"visa",226,"debit",325,87,,,2,2,0,0,1,403,403,11,,403
2988192,0,126555,38.548,"C",15885,545,185,"visa",138,"debit",,,"gmail.com","gmail.com",1,4,0,1,0,71,71,71,71,0
2988215,0,127901,100,"W",14540,276,150,"visa",226,"debit",191,87,"gmail.com",,1,2,0,0,0,121,65,1,65,334
2988226,0,128334,150.5,"W",7919,194,150,"mastercard",202,"debit",204,87,,,106,94,0,0,97,362,362,2,,362
2988243,0,128896,280,"W",9936,555,150,"visa",226,"debit",448,87,"icloud.com",,8,7,0,0,4,120,120,56,0,91
2988253,0,129265,97,"W",6530,206,150,"mastercard",166,"debit",325,87,"gmail.com",,2,2,0,0,0,275,275,275,275,275
2988320,0,130971,25.95,"W",7919,194,150,"mastercard",202,"debit",123,87,,,1,2,0,0,1,274,274,245,,274
2988327,0,131298,50,"W",7919,194,150,"mastercard",202,"debit",476,87,,,2,4,0,0,0,395,395,30,,395
2988338,0,131588,150,"W",7919,194,150,"mastercard",202,"debit",441,87,,,7,5,0,0,6,389,389,181,,475
2988350,0,131823,48.95,"W",4663,490,150,"visa",166,"debit",204,87,"gmail.com",,1,1,0,0,1,43,43,15,43,43
2988351,0,131834,60,"W",6128,111,150,"mastercard",224,"debit",272,87,"gmail.com",,2,1,0,0,0,10,10,10,10,307
2988407,0,133114,60,"W",18132,567,150,"mastercard",117,"debit",476,87,"yahoo.com",,2,5,0,0,0,112,112,0,95,112
2988450,0,133893,50,"W",11905,162,150,"visa",226,"debit",441,87,"msn.com",,6,5,0,0,1,427,427,31,449,449
2988486,0,134279,57.95,"W",7919,194,150,"mastercard",202,"debit",264,87,"gmail.com",,2,2,0,0,1,0,,,45,45
2988503,0,134574,49,"W",9500,321,150,"visa",226,"debit",272,87,"gmail.com",,2,2,0,0,0,41,41,0,41,41
2988507,0,134648,59,"W",7919,194,150,"mastercard",202,"debit",264,87,,,1,1,0,0,0,427,427,273,,0
2988513,0,134767,70,"H",16326,321,150,"visa",226,"credit",204,87,"yahoo.com","anonymous.com",1,1,0,1,0,0,,,,
2988570,0,135747,26,"W",17131,111,150,"mastercard",224,"debit",264,87,"yahoo.com",,1,1,0,0,0,0,,,0,0
2988589,0,136053,50,"W",2803,100,150,"visa",226,"debit",204,87,"gmail.com",,8,5,0,0,3,126,126,14,126,126
2988657,0,137140,171,"W",12839,321,150,"visa",226,"debit",226,87,"gmail.com",,1,1,0,0,0,243,243,58,58,243
2988659,0,137212,108.95,"W",12695,490,150,"visa",226,"debit",126,87,"gmail.com",,2,1,0,0,1,14,14,14,214,214
2988660,0,137243,40,"W",13089,194,150,"mastercard",202,"debit",272,87,"gmail.com",,1,1,0,0,0,392,392,213,392,392
2988704,1,137916,15,"W",9499,555,150,"visa",226,"debit",325,87,,,4,1,0,0,0,399,399,0,,399
2988716,0,138069,25,"W",13481,199,150,"mastercard",224,"debit",231,87,"anonymous.com",,3,2,0,0,1,286,286,9,483,483
2988732,1,138293,136.99,"W",9112,250,150,"visa",226,"debit",441,87,"gmail.com",,1,1,0,0,0,11,11,7,11,11
2988780,0,138885,40,"W",2803,100,150,"visa",226,"debit",184,87,"yahoo.com",,1,1,0,0,1,152,152,30,152,152
2988821,0,139463,107.95,"W",16314,400,150,"mastercard",224,"debit",330,87,"comcast.net",,3,2,0,0,2,51,51,9,456,9
2988825,0,139536,67.95,"W",3508,514,150,"mastercard",224,"debit",494,87,"yahoo.com",,1,1,0,0,1,0,,,0,0
2988838,0,139692,57.95,"W",7919,194,150,"mastercard",202,"debit",299,87,"gmail.com",,4,5,0,0,1,487,487,487,291,291
2988839,0,139696,664,"W",6872,587,150,"visa",226,"debit",441,87,"gmail.com",,10,7,0,0,2,293,138,0,423,423
2988853,0,139868,49,"W",16632,215,150,"mastercard",166,"debit",441,87,,,8,7,0,0,1,133,133,14,,126
2988881,0,140248,100,"W",7826,481,150,"mastercard",224,"debit",325,87,"gmail.com",,1,2,0,0,0,217,217,14,217,217
2988887,0,140319,117,"W",17188,321,150,"visa",226,"debit",299,87,"gmail.com",,3,1,0,0,0,0,,,373,373
2988895,0,140428,50,"W",10838,143,150,"visa",226,"debit",205,87,,,2,1,0,0,2,480,480,32,,485
2988898,0,140434,100,"W",10057,225,150,"mastercard",224,"debit",441,87,,,127,120,0,0,168,477,477,80,,477
2988915,0,140671,82.95,"W",11849,271,150,"visa",226,"debit",330,87,"gmail.com",,4,7,0,0,2,261,261,30,426,455
2988940,0,140830,50,"H",13469,122,150,"mastercard",100,"debit",441,87,"gmail.com",,1,1,0,0,0,0,,,,
2988997,0,141439,150,"R",10486,514,150,"mastercard",219,"credit",184,87,"me.com","comcast.net",2,2,0,2,0,0,,,,
2989004,0,141475,151,"W",7919,194,150,"mastercard",202,"debit",272,87,,,1,1,0,0,0,0,,,,0
2989021,0,141614,874.95,"W",15066,170,150,"mastercard",102,"credit",472,87,"gmail.com",,1,1,0,0,1,0,,,0,0
2989046,0,141952,42.95,"W",10313,258,150,"visa",226,"debit",469,87,,,89,80,0,0,79,462,462,15,,462
2989049,0,142003,85,"W",7919,194,150,"mastercard",202,"debit",327,87,,,6,5,0,0,1,484,484,28,,484
2989123,0,142885,423.89,"W",18334,589,150,"visa",226,"debit",226,87,,,1,1,0,0,1,0,,,,0
2989156,0,143319,20,"W",12583,404,150,"mastercard",102,"credit",126,87,"gmail.com",,1,1,0,0,0,12,12,3,13,13
2989175,0,143593,644.95,"W",15066,170,150,"mastercard",102,"credit",204,87,"verizon.net",,1,1,0,0,1,0,,,0,0
2989195,0,143749,57.95,"W",4702,111,150,"mastercard",224,"debit",476,87,,,1,1,0,0,1,343,343,343,,423
2989217,0,143959,20,"W",12583,404,150,"mastercard",102,"credit",126,87,"gmail.com",,1,1,0,0,0,12,12,0,,
2989236,0,144172,482.67,"W",15066,170,150,"mastercard",102,"credit",226,87,"gmail.com",,1,1,0,0,1,0,,0,,
2989245,0,144229,131,"W",9303,298,150,"visa",226,"debit",476,87,"gmail.com",,5,3,0,0,0,192,192,22,192,192
2989247,0,144236,100,"W",11900,339,150,"visa",226,"debit",191,87,"outlook.com",,135,103,0,0,172,340,340,3,478,478
2989297,0,144692,92,"W",7919,194,150,"mastercard",166,"debit",299,87,"gmail.com",,2,2,0,0,0,287,287,29,305,305
2989303,0,144793,250,"R",1724,583,150,"visa",226,"credit",225,87,"hotmail.com","hotmail.com",1,1,0,1,0,363,363,,,
2989312,0,144865,68.5,"W",2803,100,150,"visa",226,"debit",184,87,"gmail.com",,3,3,0,0,1,63,63,9,219,219
2989343,0,145183,57.95,"W",17188,321,150,"visa",226,"debit",299,87,"gmail.com",,101,85,0,0,142,11,11,8,459,
2989395,0,145688,46.92,"W",14661,210,150,"visa",226,"debit",110,87,"hotmail.com",,2,2,0,0,0,97,97,98,,
2989408,0,145829,77,"W",9839,555,150,"visa",226,"debit",191,87,"live.com",,3,3,0,0,0,0,,,,
2989426,0,146023,107.95,"W",7919,194,150,"mastercard",166,"debit",143,87,,,4,1,0,0,1,23,23,23,,273
2989435,0,146097,187.95,"W",5635,555,150,"visa",226,"debit",123,87,"yahoo.com",,96,87,0,0,79,188,188,31,481,481
2989467,0,146338,90,"W",10930,444,150,"visa",226,"debit",330,87,"gmail.com",,5,6,0,0,2,43,41,0,,41
2989529,0,146922,87,"W",1939,360,150,"visa",166,"debit",315,87,"yahoo.com",,1,1,0,0,0,0,,,,
2989545,0,147095,49,"W",12598,111,150,"visa",166,"debit",220,87,"gmail.com",,1,1,0,0,0,0,,,,
2989546,0,147107,120,"W",12850,170,150,"visa",195,"credit",330,87,"aol.com",,1,1,0,0,0,4,4,4,,
2989566,0,147272,209.95,"W",2261,111,150,"visa",226,"debit",143,87,"yahoo.com",,1,1,0,0,1,0,0,0,0,
2989642,0,148058,39.54,"W",16521,527,150,"mastercard",117,"debit",158,87,"gmail.com",,4,5,0,0,0,18,,18,,
2989687,0,148498,58.95,"W",2455,321,150,"visa",226,"credit",204,87,"gmail.com",,2,2,0,0,1,0,,,,
2989699,0,148606,40,"W",10776,512,150,"visa",166,"debit",485,87,"gmail.com",,6,6,0,0,2,133,133,4,,
2989701,0,148613,59,"W",11207,361,150,"visa",226,"debit",420,87,"gmail.com",,1,1,0,0,0,181,181,181,,
2989706,0,148687,554,"W",4649,555,150,"visa",226,"debit",225,87,"hotmail.com",,2,2,0,0,0,0,,,,
2989731,0,148905,159.95,"W",4090,490,150,"visa",226,"debit",310,87,,,100,76,0,0,107,484,484,29,,484
2989732,0,148907,50,"W",6328,455,150,"mastercard",126,"debit",444,87,"yahoo.com",,1,1,0,0,2,42,42,14,,
2989811,0,149728,90,"W",1804,161,150,"mastercard",117,"debit",123,87,"gmail.com",,1,2,0,0,1,466,466,24,466,466
2989826,0,149904,400,"W",7676,512,150,"visa",226,"debit",194,87,"anonymous.com",,1,1,0,0,0,473,473,38,,473
2989840,0,150081,15.226,"C",16136,204,185,"visa",138,"debit",,,"gmail.com","gmail.com",1,1,0,1,0,0,,,,
2989844,0,150104,261.95,"W",7585,553,150,"visa",226,"credit",123,87,"gmail.com",,6,2,0,0,1,91,91,28,,184
2989850,0,150187,40,"H",12695,490,150,"visa",226,"debit",126,87,"verizon.net",,1,1,0,0,0,0,,,,
2989909,0,150708,59,"W",18350,472,150,"visa",166,"debit",476,87,"gmail.com",,2,2,0,0,0,0,,,,
2989913,0,150727,75,"W",11207,361,150,"visa",226,"debit",325,87,,,1,1,0,0,1,448,448,14,,476
2989922,0,150771,65,"W",10960,567,150,"mastercard",117,"debit",272,87,"gmail.com",,1,1,0,0,0,142,142,38,481,481
2989938,0,150893,112,"W",7919,194,150,"mastercard",166,"debit",299,87,,,1,1,0,0,0,273,273,27,,
2989945,0,150930,25,"H",8397,310,150,"mastercard",117,"debit",126,87,"comcast.net",,2,1,0,1,0,0,,,,
2989958,0,151090,330.99,"W",1284,490,150,"visa",226,"debit",387,87,"gmail.com",,1,1,0,0,0,0,,,,
2990006,0,151516,27,"W",7562,170,150,"mastercard",102,"credit",123,87,"anonymous.com",,2,1,0,0,0,8,8,8,,
2990020,0,151640,103.97,"W",8135,247,150,"visa",226,"credit",476,87,"gmail",,21,13,0,0,8,483,483,0,483,483
2990024,0,151663,335,"W",15200,555,150,"visa",138,"debit",126,87,"aol.com",,1,1,0,0,0,0,,,,
2990042,0,151823,554,"W",15186,512,150,"mastercard",224,"debit",299,87,"yahoo.com",,1,1,0,0,0,0,,,,
2990047,0,151892,15,"W",7919,194,150,"mastercard",166,"debit",204,87,"gmail.com",,123,119,0,0,185,456,456,17,,
2990052,0,151917,100,"W",16146,532,150,"mastercard",224,"debit",251,87,"yahoo.com",,3,1,0,0,2,42,42,7,277,277
2990055,0,151925,50,"H",10486,514,150,"mastercard",219,"credit",325,87,"gmail.com",,1,1,0,0,0,0,,,,
2990063,0,152011,75,"H",1724,583,150,"visa",226,"credit",315,87,"gmail.com",,1,1,0,0,0,0,,,0,0
2990083,0,152173,527,"W",13844,583,150,"visa",226,"debit",126,87,"comcast.net",,1,1,0,0,0,0,,,,
2990162,0,152986,1779.95,"W",2616,327,150,"discover",102,"credit",251,87,"yahoo.com",,1,1,0,0,1,4,4,1,,
2990166,0,153010,35.95,"W",7919,194,150,"mastercard",166,"debit",315,87,,,1,1,0,0,1,0,,,,
2990170,0,153051,50,"W",14491,369,150,"mastercard",224,"debit",299,87,"gmail.com",,1,1,0,0,0,312,312,11,312,312
2990188,0,153176,87,"W",16255,470,150,"mastercard",137,"credit",315,87,"yahoo.com",,2,2,0,0,0,4,4,0,,
2990191,0,153194,77,"W",11572,555,150,"visa",226,"debit",433,87,"gmail.com",,2,1,0,0,0,400,400,0,224,400
2990213,0,153422,59,"W",9500,321,150,"visa",226,"debit",204,87,"gmail.com",,1,1,0,0,0,0,,,,0
2990228,0,153572,50,"W",1675,174,150,"visa",226,"debit",220,87,"gmail.com",,1,4,0,0,0,88,88,4,88,88
2990234,0,153619,200,"W",7835,361,150,"visa",226,"debit",472,87,"yahoo.com",,4,4,0,0,0,29,29,1,,
2990239,0,153658,50,"H",3682,264,150,"visa",162,"credit",226,87,"yahoo.com",,1,1,0,0,0,0,,,,
2990262,0,153896,117,"W",2803,100,150,"visa",226,"debit",476,87,"gmail.com",,1,1,0,0,0,16,16,0,,
2990263,0,153901,92,"W",7919,194,150,"mastercard",166,"debit",191,87,"yahoo.com",,2,1,0,0,0,0,,,,182
2990282,0,154018,100,"W",12686,215,150,"visa",226,"debit",498,87,,,2,2,0,0,1,424,424,49,,424
2990298,0,154191,107.95,"W",12501,490,150,"visa",226,"debit",204,87,"yahoo.com",,1,1,0,0,1,0,,,,
2990305,0,154276,19.093,"C",13832,375,185,"mastercard",224,"debit",,,"gmail.com","gmail.com",1,3,0,1,0,218,218,204,,
2990319,0,154418,107.95,"W",15756,543,150,"mastercard",224,"debit",123,87,"gmail.com",,6,4,0,0,1,135,,0,435,435
2990333,0,154521,136.13,"W",18269,234,150,"visa",226,"debit",158,87,"gmail.com",,1,1,0,0,0,0,,,,
2990371,0,154931,20.241,"C",15885,545,185,"visa",138,"debit",,,"hotmail.com","hotmail.com",1,1,0,1,0,0,,,0,
2990389,0,155079,29,"W",13145,360,150,"visa",166,"debit",330,87,"gmail.com",,1,1,0,0,0,0,0,0,,
2990393,0,155120,66.341,"C",13095,562,150,"mastercard",197,"debit",,,"gmail.com","gmail.com",1,2,0,1,0,0,0,0,,
2990432,0,155436,150,"W",4219,321,150,"visa",226,"debit",472,87,,,2,1,0,0,1,17,17,17,,106
2990457,0,155665,59.95,"W",16923,102,150,"mastercard",117,"debit",204,87,"gmail.com",,1,1,0,0,1,0,,,,
2990469,0,155809,221.99,"W",14653,194,150,"mastercard",166,"debit",315,87,"gmail.com",,1,1,0,0,0,0,,,,
2990476,0,155876,684.95,"W",7585,553,150,"visa",226,"credit",299,87,"yahoo.com",,1,1,0,0,1,0,,,0,0
2990495,0,156032,8.542,"C",10086,500,185,"mastercard",224,"credit",,,"gmail.com","gmail.com",1,1,0,1,0,0,,,,56
2990497,0,156035,117,"W",16568,321,150,"visa",195,"debit",264,87,"anonymous.com",,2,2,0,0,0,195,195,11,,
2990504,0,156142,50,"W",11839,490,150,"visa",226,"debit",512,87,"gmail.com",,1,1,0,0,0,446,446,10,446,446
2990530,0,156417,39,"W",7919,194,150,"mastercard",166,"debit",337,87,,,1,1,0,0,0,0,,,,
2990531,0,156424,100,"H",6497,123,144,"visa",226,"credit",171,96,"gmail.com",,1,1,0,0,0,0,,,,
2990567,0,156835,50,"H",11927,532,150,"mastercard",224,"debit",485,87,"gmail.com","gmail.com",1,1,0,1,0,0,,,,
2990614,0,157235,59,"W",7919,194,150,"mastercard",166,"debit",441,87,"gmail.com",,2,2,0,0,0,63,63,63,,
2990645,0,157522,200,"H",17574,555,150,"visa",226,"credit",269,87,"gmail.com",,1,1,0,0,0,0,,,,
2990687,0,157884,120,"W",7919,194,150,"mastercard",166,"debit",251,87,"yahoo.com",,1,1,0,0,0,16,16,16,,16
2990697,0,157961,350,"W",7919,194,150,"mastercard",166,"debit",123,87,"yahoo.com",,1,1,0,0,0,25,25,24,25,25
2990706,1,158108,10,"S",8732,360,150,"mastercard",229,"debit",337,87,,"gmail.com",35,30,0,21,0,19,,,,
2990714,0,158210,300,"W",9323,111,150,"visa",226,"debit",191,87,"charter.net",,2,1,0,0,0,51,51,0,422,422
2990747,0,158536,82.95,"W",17399,111,150,"mastercard",224,"debit",204,87,"gmail.com",,2,3,0,0,3,260,260,15,,
2990753,0,158578,59,"W",7919,194,150,"mastercard",166,"debit",337,87,"gmail.com",,1,1,0,0,0,0,,,0,0
2990774,0,158829,35.95,"W",16132,111,150,"visa",226,"debit",299,87,"gmail.com",,4,2,0,0,1,24,24,24,,
2990776,0,158832,50,"W",12686,215,150,"visa",226,"debit",498,87,"yahoo.com",,2,2,0,0,1,282,282,12,,
2990785,0,158951,50,"H",9803,583,150,"visa",226,"credit",264,87,"gmail.com",,1,1,0,0,0,0,,,,
2990788,0,158985,10,"W",2261,111,150,"visa",226,"debit",143,87,,,1,1,0,0,0,133,133,13,,
2990824,0,159426,53.97,"W",13108,215,150,"visa",226,"debit",251,87,"yahoo.com",,3,1,0,0,1,0,,,420,483
2990826,0,159434,1052,"W",15497,490,150,"visa",226,"debit",299,87,"aol.com",,1,1,0,0,0,180,,,,
2990847,0,159691,226,"W",7919,194,150,"mastercard",166,"debit",310,87,"yahoo.com",,2,3,0,0,0,153,153,30,,
2990855,0,159786,50,"W",12275,543,150,"mastercard",117,"debit",315,87,"yahoo.com",,1,1,0,0,1,395,395,15,480,480
2990859,0,159840,150,"R",8260,399,150,"american express",150,"credit",337,87,"gmail.com","gmail.com",1,1,0,1,0,0,,,,
2990862,0,159876,32.97,"W",7207,111,150,"visa",226,"debit",204,87,,,2,2,0,0,1,0,,,,0
2990899,0,160188,150,"H",2952,222,150,"visa",226,"credit",469,87,"msn.com",,1,1,0,0,0,0,,,0,0
2990906,1,160261,150,"R",2755,404,150,"mastercard",102,"credit",204,87,"gmail.com","gmail.com",1,1,0,1,0,0,,,,
2990934,0,160579,77.95,"W",1171,532,150,"mastercard",224,"debit",191,87,"cox.net",,8,5,0,0,4,116,116,7,,265
2990937,0,160596,82,"W",7676,512,150,"visa",226,"debit",299,87,"sbcglobal.net",,1,1,0,0,0,0,,,,
2990939,0,160615,105,"W",3570,512,150,"visa",226,"debit",299,87,"gmail.com",,2,3,0,0,0,0,,,,
2990993,0,161239,107.95,"W",2616,327,150,"discover",102,"credit",299,87,,,2,3,0,0,1,300,300,19,,300
2991037,0,161680,50,"H",11653,561,150,"mastercard",224,"credit",315,87,"anonymous.com",,1,1,0,0,0,0,,,,
2991046,0,161742,107,"W",3166,559,150,"visa",166,"debit",325,87,"gmail.com",,1,1,0,0,0,0,,,0,0
2991059,0,161833,117,"W",6369,308,150,"visa",226,"debit",384,87,"comcast.net",,1,1,0,0,0,0,,,,
2991067,0,161937,309.95,"W",7508,321,150,"visa",226,"debit",299,87,"gmail.com",,3,2,0,0,2,146,105,28,,
2991074,0,161991,554,"W",12839,321,150,"visa",226,"debit",264,87,"gmail.com",,1,1,0,0,0,0,,,,
2991096,0,162120,213,"W",2884,490,150,"visa",226,"debit",420,87,"gmail.com",,1,1,0,0,0,139,139,0,139,139
2991149,0,162648,67.95,"W",5033,269,150,"mastercard",224,"debit",264,87,"gmail.com",,4,3,0,0,2,25,25,23,,
2991154,0,162674,269.95,"W",2377,203,150,"visa",166,"debit",299,87,"aol.com",,1,1,0,0,2,210,210,27,210,
2991182,0,162850,29,"W",12211,298,150,"visa",226,"debit",433,87,"gmail.com",,2,1,0,0,0,0,,,,
2991195,0,162961,30.95,"W",10682,514,150,"mastercard",224,"debit",299,87,"gmail.com",,8,5,0,0,1,309,309,8,,
2991207,0,163036,107.95,"W",5699,555,150,"visa",226,"debit",436,87,,,120,127,0,0,107,16,16,3,,
2991234,0,163293,67.95,"W",7919,194,150,"mastercard",166,"debit",299,87,,,2,1,0,0,1,154,154,63,,267
2991250,0,163523,117,"W",7508,321,150,"visa",226,"debit",177,87,"gmail.com",,2,2,0,0,0,0,,,,
2991298,0,164129,59,"W",1939,360,150,"visa",166,"debit",181,87,"gmail.com",,1,1,0,0,0,0,,,,
2991348,0,164674,12.99,"C",15885,545,185,"visa",138,"debit",,,"yahoo.com.mx","yahoo.com.mx",1,1,0,1,0,0,,,,
2991349,0,164683,50,"W",17217,111,150,"visa",226,"debit",184,87,"icloud.com",,144,115,0,0,163,26,26,5,,
2991374,0,164990,7.19,"C",15885,545,185,"visa",138,"debit",,,"hotmail.com","hotmail.com",1,1,0,1,0,0,,,,
2991380,0,165044,15.105,"C",3154,408,185,"mastercard",224,"debit",,,"outlook.com","outlook.com",1,1,0,1,0,0,,,,
2991396,0,165230,77,"W",12538,543,150,"mastercard",224,"debit",264,87,"outlook.com",,1,2,0,0,0,3,0,0,3,3
2991406,0,165335,59,"W",2884,490,150,"visa",226,"debit",325,87,"yahoo.com",,4,4,0,0,1,55,55,37,,
