loan_id,customer_id,age,gender,marital_status,education,employment_type,years_employed,annual_income,monthly_income,loan_amount,loan_term_months,interest_rate,credit_score,existing_loans,collateral_type,loan_purpose,debt_to_income,missed_payments_6m,months_with_bank,num_bank_products,default
LN000071,CUS00071,62,Female,Single,Doctoral,Government Officer,4,2508200,209038,1606022,48,5.897345858868495,753,3,Life Insurance,Auto Loan,1.8065735955706255,0,236,4,0
LN001609,CUS01609,45,Male,Widowed,Vocational,Freelance,24,2673397,216685,1735454,36,3.8506988975649326,768,5,Vehicle,Medical,2.813076345374086,4,138,1,1
LN001533,CUS01533,53,Female,Widowed,Master,Self-Employed,33,3465649,282929,3025281,120,13.377558807813546,761,2,Guarantor,Personal Loan,1.4400928538949023,1,115,1,1
LN000248,CUS00248,60,Male,Single,Doctoral,Government Officer,22,2532962,203643,1448609,300,8.772690538105397,679,3,Life Insurance,Personal Loan,0.15027984746267664,5,20,1,0
LN001451,CUS01451,41,Female,Divorced,Bachelor,Government Officer,28,636988,53005,3560806,240,11.607782720278164,310,3,,Home Purchase,4.243561421526413,0,128,2,1
LN000213,CUS00213,59,Male,Divorced,Secondary,Freelance,1,4161834,340720,1128734,240,12.600680266412754,742,0,Real Estate,Business Expansion,0.8097620790244985,4,149,4,0
LN000910,CUS00910,33,Female,Divorced,Secondary,Contract Employee,29,483942,40008,2428117,240,17.58354005020595,781,5,Guarantor,Personal Loan,2.2371522791686904,3,144,3,0
LN001742,CUS01742,42,Male,Single,Doctoral,Permanent Employee,1,1671030,143330,567872,48,6.895326612524377,544,4,Life Insurance,Education,1.179873965614544,3,226,4,1
LN001245,CUS01245,29,Male,Widowed,Master,Business Owner,31,3961288,328800,1245873,12,7.582622799121507,346,1,,Business Expansion,4.184858584768826,5,125,2,1
LN001697,CUS01697,61,Male,Single,Secondary,Business Owner,18,2017729,174996,3125676,36,13.607692848160987,415,3,Fixed Deposit,Auto Loan,6.034488161135659,5,52,5,1
LN001183,CUS01183,60,Female,Married,Primary,Contract Employee,21,1123977,98118,4551055,180,16.22053167738844,537,3,Vehicle,Education,3.002351168485754,3,179,2,1
LN000362,CUS00362,60,Female,Married,Doctoral,Freelance,16,423281,44603,94322,84,16.36642203139374,338,3,Fixed Deposit,Personal Loan,0.39850558404195235,5,58,1,0
LN001474,CUS01474,24,Female,Divorced,Primary,Self-Employed,18,1877928,164988,3701731,48,13.996031089585104,489,3,Real Estate,Home Purchase,6.604239176132902,3,59,5,1
LN000679,CUS00679,65,Male,Single,Secondary,Business Owner,1,3346162,271599,1834199,36,5.838671063425294,392,1,Vehicle,Education,2.831776046263159,2,101,4,0
LN001622,CUS01622,56,Male,Widowed,Doctoral,Freelance,34,1680813,146169,3514774,180,12.488549500547592,622,0,Real Estate,Home Purchase,1.1841963938074866,4,54,6,1
LN001090,CUS01090,46,Male,Divorced,Secondary,Business Owner,9,298101,32398,714859,60,11.757229771474474,413,0,Fixed Deposit,Home Purchase,4.158062673208316,6,0,3,1
LN001988,CUS01988,36,Male,Widowed,Bachelor,Permanent Employee,35,1214194,99302,4661501,180,6.776875776507939,799,1,Vehicle,Business Expansion,2.4878742951340485,6,35,3,1
LN001848,CUS01848,40,Female,Divorced,Bachelor,Government Officer,28,605256,55531,3589932,240,11.4547127465381,315,3,,Home Purchase,4.096491155111749,0,126,2,1
LN000988,CUS00988,66,Male,Divorced,Master,Freelance,6,3907092,335267,2331663,24,6.462445337466601,664,1,Real Estate,Education,4.217078492519537,2,125,3,0
LN001513,CUS01513,63,Female,Married,Vocational,Self-Employed,28,4019887,332979,4486270,36,8.429546735642399,429,3,Guarantor,Business Expansion,4.2570538728428975,1,48,1,1
LN000112,CUS00112,46,Male,Single,Primary,Freelance,9,215670,15637,2335895,240,10.80175538346284,753,2,Real Estate,Home Purchase,5.431945393997596,4,36,2,0
LN001488,CUS01488,61,Male,Married,Bachelor,Freelance,24,2112625,176209,2615205,180,7.218559840414001,672,4,,Education,2.545705512981876,6,180,6,1
LN001454,CUS01454,51,Male,Widowed,Primary,Government Officer,18,1061382,98642,907854,36,9.243016536619374,465,4,Vehicle,Medical,3.629405639272755,3,21,3,1
LN000384,CUS00384,24,Female,Married,Vocational,Freelance,11,1537803,126597,3607285,120,6.301012182920213,481,0,Real Estate,Personal Loan,3.0645888943248982,1,157,3,0
LN001396,CUS01396,41,Female,Married,Secondary,Contract Employee,17,1568123,118047,1196370,24,3.6147772012329225,564,3,Fixed Deposit,Medical,4.1710857335183595,0,126,3,1
LN001055,CUS01055,24,Male,Widowed,Vocational,Permanent Employee,9,800873,73246,1366324,180,11.263676396148862,722,0,Fixed Deposit,Debt Consolidation,1.2550962413616005,0,54,1,1
LN000756,CUS00756,49,Female,Single,Vocational,Self-Employed,34,1973409,151625,2990445,36,12.269268511149887,779,2,Guarantor,Personal Loan,6.279699425596218,6,82,1,0
LN000325,CUS00325,54,Male,Widowed,Secondary,Contract Employee,29,1275151,107559,4879020,240,9.298305587936344,634,4,Life Insurance,Business Expansion,0.6747062429634056,3,11,6,0
LN001624,CUS01624,55,Male,Single,Vocational,Business Owner,26,3928035,321552,4973940,36,14.245907651345272,769,1,Fixed Deposit,Auto Loan,5.054101246074387,2,89,6,1
LN000788,CUS00788,27,Female,Widowed,Secondary,Business Owner,27,155939,10691,2905818,120,5.563016873776219,785,1,Fixed Deposit,Personal Loan,17.936683849500188,4,58,2,0
LN000369,CUS00369,41,Male,Married,Primary,Permanent Employee,7,3529446,293410,898079,180,11.232211703345712,379,0,Guarantor,Auto Loan,0.9711410596719301,0,202,5,0
LN001820,CUS01820,34,Female,Divorced,Master,Government Officer,31,1511527,128351,2290577,36,5.40918161047858,361,2,Guarantor,Auto Loan,6.209097282843535,0,161,1,1
LN000070,CUS00070,26,Male,Single,Bachelor,Permanent Employee,25,3892781,316974,514286,120,14.865913569554241,618,2,Life Insurance,Debt Consolidation,0.0,5,70,4,0
LN000858,CUS00858,46,Female,Widowed,Primary,Permanent Employee,34,972409,75092,2652763,12,12.393564985872924,302,0,Life Insurance,Home Purchase,34.50809038798948,0,115,1,0
LN001484,CUS01484,37,Male,Divorced,Secondary,Freelance,34,934957,76243,3955920,240,12.259093945161927,469,0,Vehicle,Debt Consolidation,2.266441447517271,2,109,2,1
LN001556,CUS01556,55,Male,Widowed,Bachelor,Government Officer,0,840358,78239,4180961,60,10.176867020184755,367,2,,Medical,9.924641424629865,3,7,3,1
LN001692,CUS01692,45,Male,Widowed,Primary,Business Owner,10,1604176,139183,1895633,60,6.960377924121509,742,1,Vehicle,Home Purchase,1.9320896567349082,0,185,1,1
LN001475,CUS01475,62,Male,Divorced,Master,Contract Employee,26,2571493,214648,1053791,36,3.8724074969279556,810,2,Fixed Deposit,Personal Loan,1.377365994161091,1,212,1,1
LN001799,CUS01799,63,Male,Divorced,Master,Contract Employee,25,2610546,215795,1191817,36,4.333406874903862,835,2,Fixed Deposit,Personal Loan,1.4465815194183493,1,210,1,1
LN000479,CUS00479,45,Male,Single,Secondary,Freelance,13,2739863,233828,2746194,60,11.689415129029008,356,4,Real Estate,Education,1.8210928078940096,1,175,6,0
LN000282,CUS00282,47,Male,Divorced,Vocational,Freelance,15,1287253,115396,2027265,48,16.576952264797907,713,0,Real Estate,Medical,5.000760927987488,2,163,2,0
LN001648,CUS01648,26,Male,Single,Doctoral,Permanent Employee,34,1671376,141561,4485259,240,4.936367480565928,306,3,Real Estate,Medical,1.4385202153943701,3,76,2,1
LN001557,CUS01557,30,Female,Married,Secondary,Self-Employed,5,1186533,104804,3214143,36,15.688814010352155,597,4,,Auto Loan,11.60963072152686,3,99,1,1
LN001730,CUS01730,54,Female,Married,Vocational,Contract Employee,20,402321,34575,2387203,240,14.951802759882503,650,0,,Medical,3.21503837386206,4,185,2,1
LN000211,CUS00211,42,Male,Widowed,Vocational,Self-Employed,14,1463234,127872,3516336,48,12.744650371697062,755,1,Real Estate,Medical,6.969696595340165,5,99,5,0
LN000298,CUS00298,63,Male,Divorced,Secondary,Government Officer,34,1979080,158892,188416,12,6.470894131134875,833,0,Fixed Deposit,Home Purchase,0.508276029191637,1,226,5,0
LN001885,CUS01885,49,Male,Widowed,Master,Contract Employee,4,2940570,252803,1190147,12,8.188515762709942,807,0,,Home Purchase,4.302422088403013,0,179,2,1
LN001834,CUS01834,55,Male,Widowed,Bachelor,Government Officer,0,970814,75680,4018874,60,9.732981538866158,379,2,,Medical,9.859372319215936,3,1,3,1
LN000652,CUS00652,53,Female,Married,Primary,Contract Employee,14,3670800,301252,2736738,12,6.6293693708490204,636,1,Life Insurance,Debt Consolidation,8.274911863278952,4,159,2,0
LN001234,CUS01234,57,Male,Single,Vocational,Business Owner,27,3885903,328533,4903647,36,14.419738879503091,776,1,Fixed Deposit,Auto Loan,4.816715658112061,2,81,6,1
LN001503,CUS01503,35,Female,Divorced,Master,Government Officer,32,1536260,130836,2226570,36,5.39436506894852,366,2,Guarantor,Auto Loan,6.713164549506922,0,172,1,1
LN001932,CUS01932,41,Female,Married,Secondary,Contract Employee,19,1476276,133275,1090166,24,4.21755103872248,551,3,Fixed Deposit,Medical,4.5037465899025,0,128,3,1
LN000917,CUS00917,62,Male,Divorced,Doctoral,Contract Employee,26,3814463,307577,4053610,180,5.892556574225978,808,3,Vehicle,Debt Consolidation,1.3842583661661298,3,150,1,0
LN000994,CUS00994,43,Female,Widowed,Bachelor,Business Owner,14,1573531,133553,3273484,84,7.931198640095058,689,3,Fixed Deposit,Medical,3.9118473118657646,2,169,2,0
LN000430,CUS00430,35,Male,Divorced,Primary,Government Officer,9,3842834,320314,4476500,120,11.017271224547343,569,2,Vehicle,Education,1.9712290649570505,0,99,4,0
LN001371,CUS01371,55,Male,Widowed,Bachelor,Permanent Employee,30,1871851,162933,4564955,24,6.299269456640124,840,2,Life Insurance,Auto Loan,13.675210961616234,6,140,3,1
LN000240,CUS00240,61,Female,Widowed,Master,Contract Employee,0,3153055,264854,4099682,24,3.876511575442832,590,3,,Personal Loan,7.952187455524321,3,189,1,0
LN000880,CUS00880,29,Male,Married,Secondary,Contract Employee,30,2232793,173646,246307,48,13.923879751481474,572,5,Guarantor,Debt Consolidation,0.1397249336453859,1,160,6,0
LN000621,CUS00621,56,Male,Single,Primary,Freelance,7,2572607,205172,1412685,240,8.411500869766735,389,2,Life Insurance,Auto Loan,1.3410470179461682,5,142,6,0
LN000257,CUS00257,62,Male,Single,Primary,Contract Employee,33,2420419,212354,2076961,180,18.114137617805387,740,0,Real Estate,Education,1.1091443455623469,4,85,5,0
LN000612,CUS00612,41,Male,Married,Bachelor,Permanent Employee,22,2610223,231793,2135438,48,17.125827330204025,507,0,Real Estate,Business Expansion,2.3747286773463254,0,176,3,0
LN000545,CUS00545,44,Male,Married,Doctoral,Freelance,24,3612958,299703,2372302,36,13.123824209016789,498,3,,Auto Loan,3.2855709564324975,0,165,1,0
LN000772,CUS00772,46,Female,Widowed,Master,Self-Employed,9,1826743,157054,1063660,24,11.771683509341305,652,5,Life Insurance,Home Purchase,3.517208788208403,1,151,6,0
LN001420,CUS01420,50,Male,Divorced,Secondary,Business Owner,35,2052705,175516,3865544,60,9.7368662434001,660,3,Life Insurance,Education,4.200621315100441,4,170,3,1
LN001042,CUS01042,50,Female,Widowed,Doctoral,Self-Employed,31,2761821,236270,4345571,48,8.171894886726134,843,0,,Business Expansion,3.819074264296825,6,154,1,1
LN001790,CUS01790,36,Male,Single,Secondary,Business Owner,23,3891934,329273,1577195,84,11.062769755386084,573,3,Guarantor,Home Purchase,0.08187001104351488,4,129,2,1
LN000760,CUS00760,36,Female,Married,Secondary,Government Officer,0,585061,46057,3484694,120,12.200175931235595,797,3,Fixed Deposit,Business Expansion,7.593640918408977,2,199,4,0
LN000383,CUS00383,62,Female,Single,Master,Government Officer,4,2151029,179978,2474459,240,7.556281798191669,504,2,Fixed Deposit,Education,1.5878097632700219,0,100,5,0
LN001104,CUS01104,45,Male,Widowed,Vocational,Freelance,26,2626270,217057,1927900,36,4.169745322446519,760,5,Vehicle,Medical,1.9656868657569235,4,150,1,1
LN000974,CUS00974,41,Male,Divorced,Master,Self-Employed,7,78754,22117,1696667,180,17.47364344770156,616,4,Fixed Deposit,Debt Consolidation,6.309331292983783,0,88,4,0
LN000353,CUS00353,60,Female,Divorced,Doctoral,Government Officer,14,3950231,323899,4416753,180,7.311886705980933,358,0,,Auto Loan,1.1904024087715337,1,3,3,0
LN001606,CUS01606,57,Female,Single,Bachelor,Permanent Employee,28,1385997,110944,1873302,60,4.073515665764148,847,3,Life Insurance,Medical,3.021103203506642,6,149,6,1
LN001826,CUS01826,32,Male,Widowed,Secondary,Freelance,24,2052743,184655,4606085,300,17.482724089373917,815,3,Life Insurance,Auto Loan,0.19813960587634105,3,111,2,1
LN001037,CUS01037,48,Male,Married,Doctoral,Self-Employed,26,3652355,286384,2807900,48,17.386080099418724,381,0,Vehicle,Debt Consolidation,2.410297662700017,6,60,3,1
LN001108,CUS01108,58,Male,Single,Master,Freelance,3,4192146,348410,3299158,180,8.305847995816741,487,1,Fixed Deposit,Education,0.48360745724136744,2,64,2,1
LN000495,CUS00495,41,Male,Single,Secondary,Self-Employed,10,1746626,136541,4095308,24,5.5316877957150306,673,4,,Personal Loan,15.175426971800817,2,179,3,0
LN000394,CUS00394,41,Female,Married,Bachelor,Self-Employed,16,1979668,164341,716961,60,7.744497377986337,770,1,Fixed Deposit,Home Purchase,0.9600348280378089,3,124,1,0
LN001547,CUS01547,54,Male,Widowed,Bachelor,Government Officer,0,1040613,77031,4089211,60,10.116972781663934,361,2,,Medical,10.431940566556598,3,5,3,1
LN000465,CUS00465,63,Female,Single,Master,Permanent Employee,18,2101164,172093,2751291,48,16.593701964370194,557,3,,Business Expansion,4.770378518358068,6,221,3,0
LN000887,CUS00887,39,Female,Single,Bachelor,Business Owner,22,943275,75235,2212067,36,11.193934246284305,506,1,,Medical,8.78301282697668,3,182,5,0
LN001194,CUS01194,58,Male,Widowed,Secondary,Government Officer,16,3789241,323344,219100,180,6.720543842940832,300,0,Real Estate,Personal Loan,0.47639329372397415,6,23,1,1
LN000367,CUS00367,34,Male,Married,Secondary,Contract Employee,4,982348,83199,932169,84,13.646561721019085,807,0,,Auto Loan,1.176113823711011,1,205,6,0
LN001894,CUS01894,26,Male,Married,Secondary,Contract Employee,4,2370658,199984,2505979,60,8.741441290260347,549,2,Fixed Deposit,Medical,1.7558680677607488,3,98,5,1
LN001874,CUS01874,35,Female,Married,Bachelor,Permanent Employee,11,1010132,84219,1919263,48,14.859003145244571,818,1,Real Estate,Debt Consolidation,5.2595977738294195,4,158,5,1
LN000745,CUS00745,52,Male,Single,Vocational,Self-Employed,13,1022609,72747,1182814,84,17.872663977102306,505,1,Life Insurance,Auto Loan,2.1791466172435032,6,151,2,0
LN000530,CUS00530,31,Female,Divorced,Secondary,Contract Employee,27,499596,40430,2350567,240,17.736474017838177,781,5,Guarantor,Personal Loan,2.3475801331561343,3,132,3,0
LN000803,CUS00803,64,Female,Divorced,Vocational,Freelance,14,1873660,151568,2857653,12,16.340961015589528,812,2,Life Insurance,Debt Consolidation,16.207412162426117,1,96,1,0
LN001224,CUS01224,49,Male,Widowed,Primary,Government Officer,18,1071681,108673,787115,36,9.11082423392413,463,4,Vehicle,Medical,2.5467200508301566,3,25,3,1
LN001979,CUS01979,28,Male,Married,Secondary,Business Owner,9,737736,60739,4428030,120,7.6449525216086665,710,0,Vehicle,Personal Loan,6.519275886672984,0,162,3,1
LN001906,CUS01906,47,Male,Married,Vocational,Business Owner,24,3505658,293655,1980718,24,14.552239834406409,300,2,,Debt Consolidation,3.073081392166794,6,236,3,1
LN001700,CUS01700,38,Female,Married,Bachelor,Business Owner,33,4078102,340981,4225408,84,15.054016630505718,589,2,,Debt Consolidation,1.2770770318894527,0,48,4,1
LN001545,CUS01545,32,Male,Widowed,Secondary,Freelance,24,2127935,184140,4807996,300,17.349106834724843,807,3,Life Insurance,Auto Loan,0.6228252193604317,3,104,2,1
LN001314,CUS01314,44,Male,Widowed,Secondary,Permanent Employee,22,830725,59009,1895796,48,6.514984345051076,529,3,Real Estate,Personal Loan,6.342359874429382,0,31,5,1
LN000307,CUS00307,57,Female,Married,Primary,Government Officer,16,2663000,221053,1841939,180,10.333087915727198,592,1,Fixed Deposit,Debt Consolidation,0.0,0,164,1,0
LN001667,CUS01667,28,Female,Divorced,Bachelor,Freelance,4,1195682,91391,3363450,24,12.54710618351156,614,0,Fixed Deposit,Education,17.880755997578547,1,116,5,1
LN000863,CUS00863,55,Female,Divorced,Secondary,Contract Employee,14,1848383,166573,789193,60,13.407401338853088,816,5,Life Insurance,Education,0.8630281397728385,5,19,3,0
LN001567,CUS01567,54,Male,Single,Vocational,Self-Employed,24,625834,45232,1087943,12,11.688828522604501,808,2,,Business Expansion,24.15020319784146,5,147,6,1
LN000531,CUS00531,27,Female,Married,Primary,Business Owner,2,2516006,211634,3544153,240,7.013784031538309,684,4,Guarantor,Personal Loan,0.6883955774009833,2,85,5,0
LN000655,CUS00655,65,Male,Divorced,Secondary,Government Officer,33,2012228,161710,216063,12,5.961256488000377,839,0,Fixed Deposit,Home Purchase,0.0,1,234,5,0
LN001260,CUS01260,35,Male,Married,Secondary,Contract Employee,6,2205266,185829,4902179,24,11.106559692952402,306,4,Fixed Deposit,Business Expansion,13.289794025809815,5,99,4,1
LN000234,CUS00234,48,Female,Married,Secondary,Permanent Employee,16,284454,9383,3407355,60,11.297992653475273,519,1,Real Estate,Medical,32.54973576061277,2,44,4,0
LN000121,CUS00121,56,Male,Widowed,Secondary,Government Officer,32,772953,66773,261413,240,17.956033298046705,397,2,Vehicle,Personal Loan,0.0,1,192,6,0
LN001698,CUS01698,54,Female,Single,Master,Permanent Employee,20,2733955,224653,4595524,24,10.530975472431926,826,5,,Home Purchase,9.380859064002193,4,219,6,1
LN000950,CUS00950,59,Male,Widowed,Vocational,Government Officer,3,3910687,327173,289138,240,11.119281946639628,674,4,Fixed Deposit,Personal Loan,0.0,4,235,3,0
LN000618,CUS00618,62,Male,Divorced,Doctoral,Contract Employee,26,3590467,324107,3982494,180,5.84482059099643,812,3,Vehicle,Debt Consolidation,1.6797286686656896,3,159,1,0
LN001179,CUS01179,60,Female,Single,Secondary,Freelance,7,314283,24804,2975926,300,13.363986367714622,633,2,,Education,4.329210705890853,2,52,6,1
LN000308,CUS00308,30,Female,Single,Vocational,Government Officer,22,1172678,98322,3805115,84,13.701151616231556,710,2,Guarantor,Education,5.417036178882742,3,135,2,0
LN000136,CUS00136,44,Female,Married,Secondary,Freelance,31,3237514,266161,546495,180,6.610068004018013,774,3,,Medical,0.4451926993454566,4,34,6,0
LN000555,CUS00555,61,Male,Single,Secondary,Permanent Employee,3,1064041,87708,436983,240,7.862161162202665,656,3,Real Estate,Personal Loan,0.0,5,138,1,0
LN001674,CUS01674,41,Male,Divorced,Primary,Self-Employed,27,1155880,81418,1724703,240,6.912377016066691,789,1,,Business Expansion,0.039915231853212996,0,107,3,1
LN000584,CUS00584,47,Female,Single,Master,Business Owner,22,4195119,338454,1156023,120,6.323976764020418,750,3,Vehicle,Auto Loan,0.15694253244544995,1,41,5,0
